id,stid,subid,SIF,zSIF,iFirst,iMiddle,iLast,iMean,iSlope,iPropSlope,ziMean,ziSlope,ziPropSlope
10,10_Big-TNT,10_Big-TNTs_15005,7.7777778,-0.052120725,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15006,-1.8939394,-0.805094802,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15007,14.2857143,0.454542919,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15008,-16.6666667,-1.955198809,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15009,10,0.120886371,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15010,-0.4464286,-0.692401463,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15011,-10.4166667,-1.468616345,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15012,9.8901099,0.112331076,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15013,-3.3333333,-0.917156215,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15014,20,0.899418313,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15015,19.047619,0.82527241,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15016,19.3939394,0.852234559,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15017,11.1111111,0.207389919,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15018,1.9230769,-0.507927891,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15019,17.8571429,0.732590043,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15020,2.5641026,-0.458021993,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15021,-10.7142857,-1.491786935,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15022,-17.5,-2.020076468,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15023,9.8214286,0.106984017,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15024,-3.2051282,-0.907175038,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15025,11.8589744,0.265613466,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15026,15.3846154,0.540095879,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15027,-27.7777778,-2.820234298,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15028,1.6666667,-0.527890244,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15030,-2.4475524,-0.848195342,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15034,4.1666667,-0.333257259,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15036,-0.952381,-0.731791473,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15037,15.1442308,0.52138117,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15038,29.1666667,1.613072595,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15039,6.25,-0.171063107,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15040,-7.1428571,-1.213739811,,,,,,,,,
10,10_Big-TNT,10_Big-TNTs_15041,21.4285714,1.010637159,,,,,,,,,
